"model","method","sites","weight","minCR","site.select.cr","age.transform","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
1,"gam","glmnet","none","minCR2","cr2","none",4.79,2.54,7.31,0.71,-1.11,4.33,4.32,9.63,1.08,1.36,-9.49
1,"glmnet","glmnet","none","minCR2","cr2","none",4.48,2.11,6.68,0.75,-0.88,2.95,4.43,9.63,1.52,1.57,-9.49
1,"rf","glmnet","none","minCR2","cr2","none",3.58,1.09,7.28,0.76,-0.5,1.18,2.78,8.71,3.27,0.89,-8.68
1,"svm","glmnet","none","minCR2","cr2","none",3.13,1.74,6.91,0.81,-1.07,1.53,3.13,8.27,2.13,0.48,-8.79
2,"gam","glmnet","none","minCR3","cr2","none",4.32,1.74,6.44,0.75,-0.48,2.21,4.57,10.14,2.03,1.76,-8.79
2,"glmnet","glmnet","none","minCR3","cr2","none",4.38,2.14,6.91,0.76,-0.42,2.98,4.42,8.15,1.37,2.11,-8.38
2,"rf","glmnet","none","minCR3","cr2","none",3.5,1.06,7.2,0.77,-0.05,1.49,3.59,7.55,3.31,1.31,-7.6
2,"svm","glmnet","none","minCR3","cr2","none",3.19,1.41,6.79,0.8,-0.59,1.54,3.61,7.62,1.89,1.2,-7.87
3,"gam","glmnet","none","minCR4","cr2","none",4.73,2.26,7.32,0.73,0.08,3.18,4.36,9.11,2.78,2.38,-8.59
3,"glmnet","glmnet","none","minCR4","cr2","none",3.89,2.04,6.65,0.74,0,2.59,3.89,10.47,2.51,2.38,-8.62
3,"rf","glmnet","none","minCR4","cr2","none",3.77,2.15,7.28,0.75,0.13,2.35,3.64,8.24,4.15,1.41,-8.15
3,"svm","glmnet","none","minCR4","cr2","none",3.23,1.31,6.92,0.81,-0.24,1.46,3.47,7.8,2.66,1.45,-7.88
4,"gam","glmnet","ci.wt","minCR2","cr2","none",4.35,1.8,7.12,0.75,-0.79,1.76,3.76,9.46,1.84,1.5,-9.38
4,"glmnet","glmnet","ci.wt","minCR2","cr2","none",4.11,1.78,6.68,0.77,-0.8,2.06,4.32,9.29,1.6,1.57,-9.26
